Sucursal,Hora,Cantidad
COYOACAN,05:50:00,4
COYOACAN,06:00:00,9
COYOACAN,06:10:00,12
COYOACAN,06:20:00,14
COYOACAN,06:30:00,15
COYOACAN,06:40:00,16
COYOACAN,06:50:00,17
COYOACAN,07:00:00,19
COYOACAN,07:10:00,22
COYOACAN,07:20:00,22
COYOACAN,07:30:00,23
COYOACAN,07:40:00,24
COYOACAN,07:50:00,25
COYOACAN,08:00:00,23
COYOACAN,08:10:00,23
COYOACAN,08:20:00,25
COYOACAN,08:30:00,22
COYOACAN,08:40:00,23
COYOACAN,08:50:00,22
COYOACAN,09:00:00,21
COYOACAN,09:10:00,22
COYOACAN,09:20:00,22
COYOACAN,09:30:00,21
COYOACAN,09:40:00,21
COYOACAN,09:50:00,21
COYOACAN,10:00:00,19
COYOACAN,10:10:00,18
COYOACAN,10:20:00,16
COYOACAN,10:30:00,17
COYOACAN,10:40:00,16
COYOACAN,10:50:00,16
COYOACAN,11:00:00,15
COYOACAN,11:10:00,15
COYOACAN,11:20:00,13
COYOACAN,11:30:00,14
COYOACAN,11:40:00,15
COYOACAN,11:50:00,13
COYOACAN,12:00:00,14
COYOACAN,12:10:00,12
COYOACAN,12:20:00,12
COYOACAN,12:30:00,12
COYOACAN,12:40:00,11
COYOACAN,12:50:00,10
COYOACAN,13:00:00,10
COYOACAN,13:10:00,11
COYOACAN,13:20:00,11
COYOACAN,13:30:00,11
COYOACAN,13:40:00,10
COYOACAN,13:50:00,9
COYOACAN,14:00:00,9
COYOACAN,14:10:00,9
COYOACAN,14:20:00,9
COYOACAN,14:30:00,9
COYOACAN,14:40:00,9
COYOACAN,14:50:00,10
COYOACAN,15:00:00,9
COYOACAN,15:10:00,10
COYOACAN,15:20:00,9
COYOACAN,15:30:00,9
COYOACAN,15:40:00,8
COYOACAN,15:50:00,9
COYOACAN,16:00:00,9
COYOACAN,16:10:00,8
COYOACAN,16:20:00,8
COYOACAN,16:30:00,8
COYOACAN,16:40:00,7
COYOACAN,16:50:00,7
COYOACAN,17:00:00,8
COYOACAN,17:10:00,8
COYOACAN,17:20:00,8
COYOACAN,17:30:00,7
COYOACAN,17:40:00,8
COYOACAN,17:50:00,6
COYOACAN,18:00:00,6
COYOACAN,18:10:00,5
COYOACAN,18:20:00,7
COYOACAN,18:30:00,6
COYOACAN,18:40:00,4
COYOACAN,18:50:00,4
COYOACAN,19:00:00,2
COYOACAN,19:10:00,3
COYOACAN,19:20:00,3
COYOACAN,20:00:00,1
CULIACAN,05:50:00,1
CULIACAN,06:00:00,2
CULIACAN,06:10:00,3
CULIACAN,06:20:00,3
CULIACAN,06:30:00,3
CULIACAN,06:40:00,4
CULIACAN,06:50:00,6
CULIACAN,07:00:00,9
CULIACAN,07:10:00,10
CULIACAN,07:20:00,9
CULIACAN,07:30:00,9
CULIACAN,07:40:00,9
CULIACAN,07:50:00,9
CULIACAN,08:00:00,9
CULIACAN,08:10:00,12
CULIACAN,08:20:00,11
CULIACAN,08:30:00,11
CULIACAN,08:40:00,11
CULIACAN,08:50:00,10
CULIACAN,09:00:00,9
CULIACAN,09:10:00,10
CULIACAN,09:20:00,9
CULIACAN,09:30:00,8
CULIACAN,09:40:00,9
CULIACAN,09:50:00,7
CULIACAN,10:00:00,6
CULIACAN,10:10:00,7
CULIACAN,10:20:00,6
CULIACAN,10:30:00,7
